"","X","UniqueID","Year","MKBinary","MKOnsetAll","DiscPopEPR","PowerPopEPR","ExcludedGrpPerc","v2clsocgrp","v2clrgunev","RPR3","ElecDemocVDEM","wdi_expmil","ACDCumuCivWar","GDPPerCap1","bicc_milper","Tinder","Flame","LogGDPPC","lagMKBinary","CowCode"
"1",1,2.197,1970,1,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.091,0.741306836,7.42143205029539,0,23309.62095,5.26,1.14289799153954,0.0312021847149458,10.0566214706363,1,2
"2",2,2.1971,1971,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.068,0.730195845,6.41068018531046,0,23775.27692,4.06,1.14083768338348,0.0255382018183103,10.0764015348747,0,2
"3",3,2.1972,1972,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.073,0.74299407,6.05396393930675,0,24760.14538,5.51,1.14665599791535,0.0525293231374003,10.1169905983483,0,2
"4",4,2.1973,1973,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.082,0.767186464,5.48514611679403,0,25908.9128,0,1.13991279713974,0.0413689103204784,10.1623423120428,0,2
"5",5,2.1974,1974,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.083,0.765233225,5.54652720610786,0,25540.501,4.11,1.14820974405893,0.0691102201944527,10.1480207456823,0,2
"6",6,2.1975,1975,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.046,0.796625405,5.23410481117256,0,25239.91991,4.04,1.15296636568352,0.0980006141678403,10.1361821435122,0,2
"7",7,2.1976,1976,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.035,0.816669512,4.84733863197817,0,26347.80928,4,1.15658153074576,0.119809477928029,10.1791404112343,0,2
"8",8,2.1977,1977,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.061,0.83506941,4.83832074674813,0,27286.25151,4.78,1.16121064941314,0.143068962460671,10.2141382466278,0,2
"9",9,2.1978,1978,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.068,0.839232976,4.63584589643172,0,28500.24046,3.38,1.15939279405299,0.139593042099813,10.2576678034141,0,2
"10",10,2.1979,1979,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.071,0.839232976,4.64560626075407,0,29082.59378,5.02,1.16287869609735,0.151690056575973,10.2778951223053,0,2
"11",11,2.198,1980,0,0,0,0.296999991,0.833333333333333,0.59368758,-0.049117506,1.057,0.864413027,4.8276247552406,0,28734.39926,3.73,1.16324039338718,0.160652668159813,10.2658502645114,0,2
"12",12,2.1981,1981,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.053,0.870204685,5.2908853313468,0,29191.99949,5.71,1.16789278442745,0.178023304574185,10.2816499606457,0,2
"13",13,2.1982,1982,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.019,0.860878281,6.38644468699617,0,28362.49462,4.92,1.16195826081193,0.146945919429378,10.252822939401,0,2
"14",14,2.1983,1983,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.013,0.863671121,5.87185144484663,0,29406.25747,4.33,1.1622446271008,0.151850926804901,10.2889627697954,0,2
"15",15,2.1984,1984,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.064,0.877238337,5.72820058341478,0,31268.97564,4.31,1.16505080712931,0.168343722965151,10.3503816913608,0,2
"16",16,2.1985,1985,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.076,0.877238337,5.93928683006598,0,32306.83306,5.75,1.16774081394471,0.17667669184809,10.3830340366824,0,2
"17",17,2.1986,1986,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.052,0.865113617,6.12408513437999,0,33133.69544,5.53,1.16482606287058,0.160629342529642,10.4083060326895,0,2
"18",18,2.1987,1987,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.079,0.867501803,5.91671787930599,0,33975.6548,5.2,1.16524099887945,0.164693475897096,10.4333995118285,0,2
"19",19,2.1988,1988,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.106,0.871307084,5.5799295933522,0,35083.96904,5.59,1.16768898305197,0.177082401281743,10.4654995826173,0,2
"20",20,2.1989,1989,0,0,0,0.296999991,0.833333333333333,0.603627788,-0.049117506,1.102,0.871307084,5.37471722131264,0,36033.3302,4.37,1.16553638076001,0.170740841584851,10.4921996280027,0,2
